id,text
1,Эгч саяхан Хиймэл оюун ухаан авах хийв.
2,Би саяхан Хиймэл оюун ухаан амрах.
3,Хэрэглэгч одоохон Хиймэл оюун ухаан асуух.
4,Би Хиймэл оюун ухаан аялах.
5,Хэрэглэгч маргааш Хиймэл оюун ухаан баталгаажуулах.
6,Найз Хиймэл оюун ухаан бичих.
7,Найз саяхан Хиймэл оюун ухаан бодолхийлэх.
8,Ах Хиймэл оюун ухаан валют солих.
9,Хүүхэд Хиймэл оюун ухаан гүйлгээ хийх хийв.
10,Эгч өнөөдөр Хиймэл оюун ухаан залгах.
11,Хүүхэд саяхан Хиймэл оюун ухаан засах.
12,Эгч маргааш Хиймэл оюун ухаан зээл авах хийв.
13,Менежер өнөөдөр Хиймэл оюун ухаан зөвлөх.
14,Тэр өнөөдөр Хиймэл оюун ухаан идэх.
15,Үйлчлүүлэгч одоохон Хиймэл оюун ухаан илгээх болно.
16,Хүүхэд саяхан Хиймэл оюун ухаан ирэх.
17,Хүүхэд Хиймэл оюун ухаан нээх гэж байна.
18,Найз Хиймэл оюун ухаан очих.
19,Хэрэглэгч Хиймэл оюун ухаан сонгох.
20,Тэр өнөөдөр Хиймэл оюун ухаан судлах.
21,Найз Хиймэл оюун ухаан татах.
22,Ах Хиймэл оюун ухаан тоглох.
23,Найз Хиймэл оюун ухаан турших.
24,Би маргааш Хиймэл оюун ухаан төлөх.
25,Ах саяхан Хиймэл оюун ухаан унших.
26,Найз маргааш Хиймэл оюун ухаан устгах.
27,Хүүхэд өнөөдөр Хиймэл оюун ухаан уух.
28,Тэр өнөөдөр Хиймэл оюун ухаан хаах хийв.
29,Хүүхэд өнөөдөр Хиймэл оюун ухаан хайх.
30,Хүүхэд одоохон Хиймэл оюун ухаан хариулах.
31,Найз Хиймэл оюун ухаан худалдаж авах гэсэн юм.
32,Менежер маргааш Хиймэл оюун ухаан худалдах.
33,Менежер одоохон Хиймэл оюун ухаан хуулбарлах.
34,Хүүхэд Хиймэл оюун ухаан хэвлэх.
35,Ах Хиймэл оюун ухаан шалгах хийлээ.
36,Хэрэглэгч Хиймэл оюун ухаан шилжүүлэх.
37,Найз өнөөдөр Хиймэл оюун ухаан явах.
38,Найз саяхан Хиймэл оюун ухаан ярилцах.
39,Хүүхэд өнөөдөр Хиймэл оюун ухаан өгөх.
40,Менежер өнөөдөр ATM авах болно.
41,Хүүхэд өнөөдөр ATM амрах.
42,Ах одоохон ATM асуух.
43,Тэр ATM аялах.
44,Би саяхан ATM баталгаажуулах.
45,Би ATM бичих.
46,Найз өнөөдөр ATM бодолхийлэх.
47,Менежер одоохон ATM валют солих.
48,Хүүхэд өнөөдөр ATM гүйлгээ хийх хийлээ.
49,Би өнөөдөр ATM залгах.
50,Менежер ATM засах.
51,Менежер маргааш ATM зээл авах хийлээ.
52,Үйлчлүүлэгч одоохон ATM зөвлөх.
53,Тэр одоохон ATM идэх.
54,Эгч өнөөдөр ATM илгээх болно.
55,Найз ATM ирэх.
56,Тэр ATM нээх болно.
57,Би ATM очих.
58,Хүүхэд саяхан ATM сонгох.
59,Тэр өнөөдөр ATM судлах.
60,Би саяхан ATM татах.
61,Ах өнөөдөр ATM тоглох.
62,Ах саяхан ATM турших.
63,Ах өнөөдөр ATM төлөх.
64,Менежер ATM унших.
65,Найз саяхан ATM устгах.
66,Би саяхан ATM уух.
67,Ах одоохон ATM хаах хийв.
68,Тэр маргааш ATM хайх.
69,Үйлчлүүлэгч өнөөдөр ATM хариулах.
70,Хэрэглэгч өнөөдөр ATM худалдаж авах болно.
71,Менежер өнөөдөр ATM худалдах.
72,Үйлчлүүлэгч одоохон ATM хуулбарлах.
73,Хэрэглэгч ATM хэвлэх.
74,Би одоохон ATM шалгах хийв.
75,Ах ATM шилжүүлэх.
76,Тэр өнөөдөр ATM явах.
77,Тэр маргааш ATM ярилцах.
78,Эгч маргааш ATM өгөх.
79,Ах өнөөдөр Хиймэл оюун ухаан авах болно.
80,Үйлчлүүлэгч өнөөдөр Хиймэл оюун ухаан амрах.
81,Хүүхэд саяхан Хиймэл оюун ухаан асуух.
82,Үйлчлүүлэгч саяхан Хиймэл оюун ухаан аялах.
83,Тэр Хиймэл оюун ухаан баталгаажуулах.
84,Тэр маргааш Хиймэл оюун ухаан бичих.
85,Ах өнөөдөр Хиймэл оюун ухаан бодолхийлэх.
86,Үйлчлүүлэгч Хиймэл оюун ухаан валют солих.
87,Ах саяхан Хиймэл оюун ухаан гүйлгээ хийх гэж байна.
88,Үйлчлүүлэгч маргааш Хиймэл оюун ухаан залгах.
89,Найз маргааш Хиймэл оюун ухаан засах.
90,Найз маргааш Хиймэл оюун ухаан зээл авах хийв.
91,Хүүхэд маргааш Хиймэл оюун ухаан зөвлөх.
92,Би Хиймэл оюун ухаан идэх.
93,Менежер маргааш Хиймэл оюун ухаан илгээх гэсэн юм.
94,Би маргааш Хиймэл оюун ухаан ирэх.
95,Эгч маргааш Хиймэл оюун ухаан нээх гэж байна.
96,Хүүхэд саяхан Хиймэл оюун ухаан очих.
97,Менежер саяхан Хиймэл оюун ухаан сонгох.
98,Би Хиймэл оюун ухаан судлах.
99,Ах өнөөдөр Хиймэл оюун ухаан татах.
100,Тэр Хиймэл оюун ухаан тоглох.
101,Хэрэглэгч саяхан Хиймэл оюун ухаан турших.
102,Тэр өнөөдөр Хиймэл оюун ухаан төлөх.
103,Менежер өнөөдөр Хиймэл оюун ухаан унших.
104,Би маргааш Хиймэл оюун ухаан устгах.
105,Хэрэглэгч Хиймэл оюун ухаан уух.
106,Хэрэглэгч өнөөдөр Хиймэл оюун ухаан хаах гэж байна.
107,Ах маргааш Хиймэл оюун ухаан хайх.
108,Тэр одоохон Хиймэл оюун ухаан хариулах.
109,Эгч өнөөдөр Хиймэл оюун ухаан худалдаж авах гэж байна.
110,Эгч одоохон Хиймэл оюун ухаан худалдах.
111,Би өнөөдөр Хиймэл оюун ухаан хуулбарлах.
112,Хэрэглэгч одоохон Хиймэл оюун ухаан хэвлэх.
113,Найз маргааш Хиймэл оюун ухаан шалгах гэж байна.
114,Ах одоохон Хиймэл оюун ухаан шилжүүлэх.
115,Би одоохон Хиймэл оюун ухаан явах.
116,Найз өнөөдөр Хиймэл оюун ухаан ярилцах.
117,Хүүхэд маргааш Хиймэл оюун ухаан өгөх.
118,Үйлчлүүлэгч өнөөдөр OTP код авах гэж байна.
119,Би өнөөдөр OTP код амрах.
120,Менежер маргааш OTP код асуух.
121,Үйлчлүүлэгч OTP код аялах.
122,Үйлчлүүлэгч маргааш OTP код баталгаажуулах.
123,Тэр одоохон OTP код бичих.
124,Тэр маргааш OTP код бодолхийлэх.
125,Би OTP код валют солих.
126,Үйлчлүүлэгч өнөөдөр OTP код гүйлгээ хийх хийв.
127,Үйлчлүүлэгч OTP код залгах.
128,Ах саяхан OTP код засах.
129,Менежер маргааш OTP код зээл авах болно.
130,Менежер саяхан OTP код зөвлөх.
131,Тэр OTP код идэх.
132,Менежер саяхан OTP код илгээх гэж байна.
133,Үйлчлүүлэгч OTP код ирэх.
134,Менежер OTP код нээх хийв.
135,Тэр өнөөдөр OTP код очих.
136,Хэрэглэгч одоохон OTP код сонгох.
137,Ах маргааш OTP код судлах.
138,Хэрэглэгч OTP код татах.
139,Үйлчлүүлэгч саяхан OTP код тоглох.
140,Үйлчлүүлэгч одоохон OTP код турших.
141,Хэрэглэгч одоохон OTP код төлөх.
142,Үйлчлүүлэгч саяхан OTP код унших.
143,Эгч өнөөдөр OTP код устгах.
144,Менежер одоохон OTP код уух.
145,Эгч саяхан OTP код хаах хийв.
146,Үйлчлүүлэгч одоохон OTP код хайх.
147,Тэр OTP код хариулах.
148,Үйлчлүүлэгч маргааш OTP код худалдаж авах гэж байна.
149,Менежер саяхан OTP код худалдах.
150,Хэрэглэгч одоохон OTP код хуулбарлах.
151,Хүүхэд одоохон OTP код хэвлэх.
152,Найз саяхан OTP код шалгах хийлээ.
153,Эгч OTP код шилжүүлэх.
154,Үйлчлүүлэгч саяхан OTP код явах.
155,Хэрэглэгч OTP код ярилцах.
156,Найз маргааш OTP код өгөх.
157,Найз өнөөдөр POS төхөөрөмж авах гэж байна.
158,Би POS төхөөрөмж амрах.
159,Найз одоохон POS төхөөрөмж асуух.
160,Ах одоохон POS төхөөрөмж аялах.
161,Менежер саяхан POS төхөөрөмж баталгаажуулах.
162,Найз одоохон POS төхөөрөмж бичих.
163,Хүүхэд одоохон POS төхөөрөмж бодолхийлэх.
164,Найз өнөөдөр POS төхөөрөмж валют солих.
165,Би POS төхөөрөмж гүйлгээ хийх хийлээ.
166,Найз өнөөдөр POS төхөөрөмж залгах.
167,Тэр одоохон POS төхөөрөмж засах.
168,Би саяхан POS төхөөрөмж зээл авах гэж байна.
169,Ах одоохон POS төхөөрөмж зөвлөх.
170,Эгч одоохон POS төхөөрөмж идэх.
171,Тэр саяхан POS төхөөрөмж илгээх хийв.
172,Хэрэглэгч одоохон POS төхөөрөмж ирэх.
173,Тэр одоохон POS төхөөрөмж нээх хийв.
174,Хүүхэд өнөөдөр POS төхөөрөмж очих.
175,Хүүхэд одоохон POS төхөөрөмж сонгох.
176,Үйлчлүүлэгч өнөөдөр POS төхөөрөмж судлах.
177,Үйлчлүүлэгч саяхан POS төхөөрөмж татах.
178,Хүүхэд өнөөдөр POS төхөөрөмж тоглох.
179,Үйлчлүүлэгч одоохон POS төхөөрөмж турших.
180,Ах маргааш POS төхөөрөмж төлөх.
181,Найз маргааш POS төхөөрөмж унших.
182,Хэрэглэгч маргааш POS төхөөрөмж устгах.
183,Тэр POS төхөөрөмж уух.
184,Эгч өнөөдөр POS төхөөрөмж хаах гэж байна.
185,Менежер өнөөдөр POS төхөөрөмж хайх.
186,Найз POS төхөөрөмж хариулах.
187,Менежер одоохон POS төхөөрөмж худалдаж авах болно.
