id,text
1,Хиймэл оюун ухаан авах
2,Хиймэл оюун ухаан амрах
3,Хиймэл оюун ухаан асуух
4,Хиймэл оюун ухаан аялах
5,Хиймэл оюун ухаан баталгаажуулах
6,Хиймэл оюун ухаан бичих
7,Хиймэл оюун ухаан бодолхийлэх
8,Хиймэл оюун ухаан валют солих
9,Хиймэл оюун ухаан гүйлгээ хийх
10,Хиймэл оюун ухаан залгах
11,Хиймэл оюун ухаан засах
12,Хиймэл оюун ухаан зээл авах
13,Хиймэл оюун ухаан зөвлөх
14,Хиймэл оюун ухаан идэх
15,Хиймэл оюун ухаан илгээх
16,Хиймэл оюун ухаан ирэх
17,Хиймэл оюун ухаан нээх
18,Хиймэл оюун ухаан очих
19,Хиймэл оюун ухаан сонгох
20,Хиймэл оюун ухаан судлах
21,Хиймэл оюун ухаан татах
22,Хиймэл оюун ухаан тоглох
23,Хиймэл оюун ухаан турших
24,Хиймэл оюун ухаан төлөх
25,Хиймэл оюун ухаан унших
26,Хиймэл оюун ухаан устгах
27,Хиймэл оюун ухаан уух
28,Хиймэл оюун ухаан хаах
29,Хиймэл оюун ухаан хайх
30,Хиймэл оюун ухаан хариулах
31,Хиймэл оюун ухаан худалдаж авах
32,Хиймэл оюун ухаан худалдах
33,Хиймэл оюун ухаан хуулбарлах
34,Хиймэл оюун ухаан хэвлэх
35,Хиймэл оюун ухаан шалгах
36,Хиймэл оюун ухаан шилжүүлэх
37,Хиймэл оюун ухаан явах
38,Хиймэл оюун ухаан ярилцах
39,Хиймэл оюун ухаан өгөх
40,ATM авах
41,ATM амрах
42,ATM асуух
43,ATM аялах
44,ATM баталгаажуулах
45,ATM бичих
46,ATM бодолхийлэх
47,ATM валют солих
48,ATM гүйлгээ хийх
49,ATM залгах
50,ATM засах
51,ATM зээл авах
52,ATM зөвлөх
53,ATM идэх
54,ATM илгээх
55,ATM ирэх
56,ATM нээх
57,ATM очих
58,ATM сонгох
59,ATM судлах
60,ATM татах
61,ATM тоглох
62,ATM турших
63,ATM төлөх
64,ATM унших
65,ATM устгах
66,ATM уух
67,ATM хаах
68,ATM хайх
69,ATM хариулах
70,ATM худалдаж авах
71,ATM худалдах
72,ATM хуулбарлах
73,ATM хэвлэх
74,ATM шалгах
75,ATM шилжүүлэх
76,ATM явах
77,ATM ярилцах
78,ATM өгөх
79,Хиймэл оюун ухаан авах
80,Хиймэл оюун ухаан амрах
81,Хиймэл оюун ухаан асуух
82,Хиймэл оюун ухаан аялах
83,Хиймэл оюун ухаан баталгаажуулах
84,Хиймэл оюун ухаан бичих
85,Хиймэл оюун ухаан бодолхийлэх
86,Хиймэл оюун ухаан валют солих
87,Хиймэл оюун ухаан гүйлгээ хийх
88,Хиймэл оюун ухаан залгах
89,Хиймэл оюун ухаан засах
90,Хиймэл оюун ухаан зээл авах
91,Хиймэл оюун ухаан зөвлөх
92,Хиймэл оюун ухаан идэх
93,Хиймэл оюун ухаан илгээх
94,Хиймэл оюун ухаан ирэх
95,Хиймэл оюун ухаан нээх
96,Хиймэл оюун ухаан очих
97,Хиймэл оюун ухаан сонгох
98,Хиймэл оюун ухаан судлах
99,Хиймэл оюун ухаан татах
100,Хиймэл оюун ухаан тоглох
101,Хиймэл оюун ухаан турших
102,Хиймэл оюун ухаан төлөх
103,Хиймэл оюун ухаан унших
104,Хиймэл оюун ухаан устгах
105,Хиймэл оюун ухаан уух
106,Хиймэл оюун ухаан хаах
107,Хиймэл оюун ухаан хайх
108,Хиймэл оюун ухаан хариулах
