id,text
1,Хиймэл оюун ухаан судлах
2,Хиймэл оюун ухаан татах
3,Хиймэл оюун ухаан тоглох
4,Хиймэл оюун ухаан турших
5,Хиймэл оюун ухаан төлөх
6,Хиймэл оюун ухаан унших
7,Хиймэл оюун ухаан устгах
8,Хиймэл оюун ухаан уух
9,Хиймэл оюун ухаан хаах
10,Хиймэл оюун ухаан хайх
11,Хиймэл оюун ухаан хариулах
12,Хиймэл оюун ухаан худалдаж авах
13,Хиймэл оюун ухаан худалдах
14,Хиймэл оюун ухаан хуулбарлах
15,Хиймэл оюун ухаан хэвлэх
16,Хиймэл оюун ухаан шалгах
17,Хиймэл оюун ухаан шилжүүлэх
18,Хиймэл оюун ухаан явах
19,Хиймэл оюун ухаан ярилцах
20,Хиймэл оюун ухаан өгөх
21,ATM авах
22,ATM амрах
23,ATM асуух
24,ATM аялах
25,ATM баталгаажуулах
26,ATM бичих
27,ATM бодолхийлэх
28,ATM валют солих
29,ATM гүйлгээ хийх
30,ATM залгах
31,ATM засах
32,ATM зээл авах
33,ATM зөвлөх
34,ATM идэх
35,ATM илгээх
36,ATM ирэх
37,ATM нээх
38,ATM очих
39,ATM сонгох
40,ATM судлах
41,ATM татах
42,ATM тоглох
43,ATM турших
44,ATM төлөх
45,ATM унших
46,ATM устгах
47,ATM уух
48,ATM хаах
49,ATM хайх
50,ATM хариулах
51,ATM худалдаж авах
52,ATM худалдах
53,ATM хуулбарлах
54,ATM хэвлэх
55,ATM шалгах
56,ATM шилжүүлэх
57,ATM явах
58,ATM ярилцах
59,ATM өгөх
60,IA авах
61,IA амрах
62,IA асуух
63,IA аялах
64,IA баталгаажуулах
65,IA бичих
66,IA бодолхийлэх
67,IA валют солих
68,IA гүйлгээ хийх
69,IA залгах
70,IA засах
71,IA зээл авах
72,IA зөвлөх
73,IA идэх
74,IA илгээх
75,IA ирэх
76,IA нээх
77,IA очих
78,IA судлах
79,IA сонгох
80,IA татах
81,IA тоглох
82,IA турших
83,IA төлөх
84,IA унших
85,IA устгах
86,IA уух
87,IA хаах
88,IA хайх
89,IA хариулах
90,IA худалдаж авах
91,IA худалдах
92,IA хуулбарлах
93,IA хэвлэх
94,IA шалгах
95,IA шилжүүлэх
96,IA явах
97,IA ярилцах
98,IA өгөх
99,OTP код авах
100,OTP код амрах
101,OTP код асуух
102,OTP код аялах
103,OTP код баталгаажуулах
104,OTP код бичих
105,OTP код бодолхийлэх
106,OTP код валют солих
107,OTP код гүйлгээ хийх
108,OTP код залгах
109,OTP код засах
110,OTP код зээл авах
111,OTP код зөвлөх
112,OTP код идэх
113,OTP код илгээх
114,OTP код ирэх
115,OTP код нээх
116,OTP код очих
117,OTP код сонгох
118,OTP код судлах
119,OTP код татах
